DISTRICT,LATITUDE,LONGITUDE
TAPLEJUNG,27.61858869,87.85666093
PANCHTHAR,27.05953098,87.82000369
ILLAM,26.8560453,87.9452083
JHAPA,26.57197501,87.95532113
MORANG,26.58315547,87.45387395
SUNSARI,26.68353642,87.1812749
DHANKUTA,26.97426594,87.36675537
TERHATHUM,27.13350032,87.55401564
SANKHUWASHAVA,27.52454419,87.29855621
BHOJPUR,27.21832031,87.06666799
SOLUKHUMBU,27.75423434,86.69879175
OKHALDHUNGA,27.32850363,86.41723305
KHOTANG,27.10524151,86.76344684
UDAYAPUR,26.89706243,86.62430815
SAPTARI,26.59685229,86.73725506
SIRAHA,26.6852784,86.32651559
DHANUSHA,26.79587245,86.00721975
MAHOTTARI,26.85777117,85.82059516
SARLAHI,26.96581113,85.5617024
SINDHULI,27.21085578,85.90028129
RAMECHAP,27.45389329,86.17446896
DOLAKHA,27.82352203,86.19576072
SINDHUPALCHOK,27.94899924,85.75847357
KAVRE,27.52503681,85.616478
LALITPUR,27.58871791,85.3453208
BHAKTAPUR,27.66294721,85.43855603
KATHMANDU,27.7328855,85.35042992
NUWAKOT,27.87213818,85.20553279
RASUWA,28.21369528,85.45366507
DHADING,27.9527537,84.98055863
MAKWANPUR,27.43988382,85.11702565
RAUTAHAT,27.03243961,85.29121681
BARA,27.13540854,85.06475248
PARSA,27.18232286,84.76011359
CHITWAN,27.54995278,84.36548036
GORKHA,28.28884046,84.78048444
LAMJUNG,28.23682669,84.41790176
TANAHU,27.94887859,84.23370592
SYANGJA,28.01170542,83.77998363
KASKI,28.30661651,84.01052734
MANANG,28.69469101,84.2357415
MUSTANG,29.02209022,83.88796267
MYAGDI,28.52877381,83.47535629
PARBAT,28.19805363,83.67436777
BAGLUNG,28.33975247,83.2731612
GULMI,28.08755407,83.30920208
PALPA,27.82143756,83.61908522
NAWALPARASI,27.66476736,83.93892312
RUPANDEHI,27.55443071,83.38330337
KAPILBASTU,27.62216856,82.9780085
ARGHAKHANCHI,27.90779334,83.06585909
PYUTHAN,28.09437706,82.88362705
ROLPA,28.32571386,82.61625263
RUKUM,28.69237626,82.66341805
SALYAN,28.37833876,82.12383472
DANG,27.97841875,82.43814156
BANKE,28.12605255,81.79981157
BARDIYA,28.33694949,81.46126455
SURKHET,28.6672745,81.55422455
DAILEKH,28.89826774,81.67159209
JAJARKOT,28.86798437,82.1977929
DOLPA,29.25286365,83.07811054
JUMLA,29.2728938,82.20976273
KALIKOT,29.21307603,81.76873832
MUGU,29.6346044,82.35940378
HUMLA,30.03513341,81.89063467
BAJURA,29.56558569,81.5497582
BAJHANG,29.70710581,81.14117632
ACHHAM,29.09181279,81.31707255
DOTI,29.17612357,80.88531019
KAILALI,28.76091877,80.82634991
KANCHANPUR,28.83479468,80.38209033
DADELDHURA,29.22747472,80.48540118
DARCHULA,29.89271094,80.74136106
BAITADI,29.48338045,80.53566864
